"","day","mod_gpp_sim","mod_gpp_unc95_sim","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"180",6720,12.8272065509511,12.9001310143375,168,2018,11.02777346,1.457391542,4.67,0.94,-7.162899178,0.732378078,2018-05-25
"181",6727,13.3158093193714,13.3809028522325,175,2018,10.44290065,1.544252913,4.45,0.91,-6.817329904,0.678486389,2018-06-01
"182",6734,16.076501234088,16.1679891351063,182,2018,9.764354646,1.350805073,NA,-9999,-5.896583003,0.718851213,2018-06-08
"183",6741,14.9863436620909,15.0761083809844,189,2018,9.832067385,1.442888257,3.27,1.84,-6.026146328,0.7694796,2018-06-15
"184",6748,14.4940147310414,14.5841786023611,196,2018,9.915027611,1.515888662,4.82,0.98,-5.814131609,0.759723115,2018-06-22
"185",6755,11.2719738521922,11.4576225696268,203,2018,NA,2.116306013,2.15,1.32,-2.214758212,0.760568164,2018-06-29
"186",6762,7.51134642272761,7.67171794328459,210,2018,NA,2.116306013,4.84,1.34,-3.376346112,0.722110254,2018-07-06
"187",6769,4.32006883024466,4.47648344448256,217,2018,3.914739166,1.293684742,4.87,2.27,-1.43499779,0.726630653,2018-07-13
"188",6776,4.58241102238429,4.7529760030908,224,2018,3.31627307,1.443624858,5.97,1.32,-0.791496753,0.676762742,2018-07-20
"189",6783,5.05534279724177,5.23177955178545,231,2018,NA,2.116306013,5.38,1.1,-0.759942514,0.659833573,2018-07-27
"190",6790,5.51686577170721,5.69890687925956,238,2018,3.979128221,1.437355424,6.75,1.35,-1.694081197,0.783772641,2018-08-03
"191",6797,6.15014069107921,6.33753407412874,245,2018,3.36850473,1.380652227,5.38,1.63,-2.39483367,0.691909888,2018-08-10
"192",6804,5.61532960624467,5.79452551280215,252,2018,3.956729582,1.306243729,5.09,1.03,-2.738902222,0.689632739,2018-08-17
"193",6811,6.11103952786239,6.31790997894776,259,2018,2.994576034,1.407991048,4.95,1.03,-1.043495278,0.652540636,2018-08-24
"194",6818,4.44693564514086,4.54677757932696,266,2018,1.811150506,1.408395326,5.06,1.02,0.334160852,0.640259548,2018-08-31
"195",6825,6.65091450982537,6.74849278966864,273,2018,3.333971474,1.514643806,4.74,0.97,-0.935105529,0.617620633,2018-09-07
"196",6832,3.80972928691762,3.88076130877288,280,2018,3.934376804,1.506531778,4.36,0.89,-0.750270242,0.634789137,2018-09-14
"197",6839,4.59158467826845,4.70367689622363,287,2018,3.259268629,1.246905131,4.37,0.89,-1.037620268,0.72392368,2018-09-21
"198",6846,2.66130456003402,2.74746972219418,294,2018,2.66712751,1.436557254,4.27,0.87,0.477505886,0.762809329,2018-09-28
"199",6853,0.679864584096353,0.710655164163074,301,2018,1.760440377,1.270612027,2,0.63,0.77087229,0.58565463,2018-10-05
"200",6860,0.737088292178068,0.786109047324874,308,2018,NA,2.116306013,0.67,0.25,1.018599838,0.591255182,2018-10-12
"201",6867,0.633961595320515,0.687695957964573,315,2018,0.891620136,1.514432998,1.53,0.32,1.240482231,0.58565463,2018-10-19
"202",6874,0.334463387199376,0.372353376877212,322,2018,0.677087025,1.514643806,0.71,0.25,0.399016238,0.677946447,2018-10-26
"203",6881,0.0930572721706385,0.106226567902611,329,2018,1.190265512,1.372708692,0.51,0.25,-0.021076242,0.629673714,2018-11-02
"204",6888,0.0708156924170568,0.0820388009425379,336,2018,0.181132016,1.514432998,NA,-9999,0.524345716,0.599433348,2018-11-09
