"","week","AverageWeeklyMeanT","year","WeeklyMeanT","tempAnomaly","Drought_Status"
"875",28,16.3221116071429,"2004",12.7338571428571,-3.58825446428571,"1989-2020"
"876",28,16.3221116071429,"1998",13.6062857142857,-2.71582589285714,"1989-2020"
"877",28,16.3221116071429,"2012",14.9368571428571,-1.38525446428572,"1989-2020"
"878",28,16.3221116071429,"1997",16.8248571428571,0.502745535714283,"1989-2020"
"879",28,16.3221116071429,"2010",23.3752857142857,7.05317410714285,"2010"
"880",28,16.3221116071429,"2005",19.186,2.86388839285714,"1989-2020"
"881",28,16.3221116071429,"1994",18.9284285714286,2.60631696428571,"1989-2020"
"882",28,16.3221116071429,"2013",15.6174285714286,-0.704683035714286,"1989-2020"
"883",28,16.3221116071429,"2003",17.0685714285714,0.746459821428569,"2003"
"884",28,16.3221116071429,"1999",17.4417142857143,1.11960267857143,"1989-2020"
"885",28,16.3221116071429,"2006",19.4245714285714,3.10245982142857,"1989-2020"
"886",28,16.3221116071429,"1995",21.2707142857143,4.94860267857143,"1989-2020"
