"","year","week","full_date","weeklysm","sd","smAverage","smAnomaly"
"528",2005,26,2005-07-01,43.5255357142857,3.25214593409616,41.498693452381,2.02684226190475
"529",2020,26,2020-06-30,39.6109851190476,3.25214593409616,41.498693452381,-1.88770833333336
"530",2019,26,2019-07-01,36.0178869047619,3.25214593409616,41.498693452381,-5.48080654761905
"531",2006,26,2006-07-01,42.124880952381,3.25214593409616,41.498693452381,0.626187500000043
"532",2018,26,2018-07-01,32.6036607142857,3.25214593409616,41.498693452381,-8.89503273809525
"533",2011,26,2011-07-01,40.1089285714286,3.25214593409616,41.498693452381,-1.38976488095236
"534",2004,26,2004-06-30,40.2218452380952,3.25214593409616,41.498693452381,-1.27684821428576
"535",2013,26,2013-07-01,43.5422619047619,3.25214593409616,41.498693452381,2.04356845238095
"536",2007,27,2007-07-08,42.940625,4.18341055031792,40.1900052437642,2.75061975623584
"537",2016,27,2016-07-07,41.1467261904762,4.18341055031792,40.1900052437642,0.956720946712039
"538",2009,27,2009-07-08,43.5772916666667,4.18341055031792,40.1900052437642,3.38728642290254
"539",2002,27,2002-07-08,40.534880952381,4.18341055031792,40.1900052437642,0.34487570861684
"540",2014,27,2014-07-08,41.4591369047619,4.18341055031792,40.1900052437642,1.26913166099774
"541",2001,27,2001-07-08,43.593005952381,4.18341055031792,40.1900052437642,3.40300070861684
"542",2000,27,2000-07-07,46.1633333333333,4.18341055031792,40.1900052437642,5.97332808956914
"543",2015,27,2015-07-08,39.2059821428571,4.18341055031792,40.1900052437642,-0.984023100907059
"544",2019,27,2019-07-08,31.6543154761905,4.18341055031792,40.1900052437642,-8.53568976757366
"545",2012,27,2012-07-07,45.9172321428571,4.18341055031792,40.1900052437642,5.72722689909294
"546",2005,27,2005-07-08,44.5666071428571,4.18341055031792,40.1900052437642,4.37660189909294
"547",2006,27,2006-07-08,40.5098214285714,4.18341055031792,40.1900052437642,0.319816184807237
"548",2017,27,2017-07-08,39.9758928571429,4.18341055031792,40.1900052437642,-0.21411238662126
"549",2010,27,2010-07-08,39.4791071428571,4.18341055031792,40.1900052437642,-0.710898100907059
"550",2003,27,2003-07-08,37.1347321428571,4.18341055031792,40.1900052437642,-3.05527310090706
"551",2004,27,2004-07-07,39.7790476190476,4.18341055031792,40.1900052437642,-0.410957624716559
"552",2008,27,2008-07-07,38.1810714285714,4.18341055031792,40.1900052437642,-2.00893381519276
"553",2013,27,2013-07-08,42.3722321428571,4.18341055031792,40.1900052437642,2.18222689909294
"554",2020,27,2020-07-07,33.1514196428571,4.18341055031792,40.1900052437642,-7.03858560090706
"555",2011,27,2011-07-08,41.6576488095238,4.18341055031792,40.1900052437642,1.46764356575964
"556",2018,27,2018-07-08,30.99,4.18341055031792,40.1900052437642,-9.20000524376416
"557",2009,28,2009-07-15,44.2974404761905,4.67710967208947,39.7011089852608,4.59633149092974
"558",2012,28,2012-07-14,44.660505952381,4.67710967208947,39.7011089852608,4.95939696712023
