"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_nee","mod_nee_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc","date"
"104",728,0.0760209096271469,0.152085245298021,0.127446728688432,0.253611476316308,1.52811873269881,1.60722352837535,365,2001,0.149774445,1.456178169,NA,-9999,1.221460329,0.63996836,2001-12-28
"105",735,0.0914700969914844,0.187781517644102,0.117909123551285,0.242421718266079,1.35586053027112,1.44441309817901,7,2002,NA,2.116306013,NA,-9999,NA,0.911057024,2002-01-04
"106",742,0.0838458663443753,0.176877876071371,0.112689284428806,0.23694281357279,1.47866694451709,1.55426094222283,14,2002,NA,2.116306013,NA,-9999,0.949047725,0.669239117,2002-01-11
"107",749,0.047375469103449,0.0990101463248814,0.109271872736266,0.233533228138407,1.57823937809925,1.67037639218156,21,2002,NA,2.116306013,NA,-9999,1.043041873,0.622384205,2002-01-18
"108",756,0.0795353181532263,0.17093729694586,0.106768619757239,0.231044447103241,1.85459449086383,1.92915244908407,28,2002,0.153700837,1.517606438,NA,-9999,1.34429032,0.58565463,2002-01-25
"109",763,0.156411053127155,0.338736320311438,0.105468875596338,0.230313342329099,1.92870199653674,2.03394139941586,35,2002,0.220853986,1.578572569,NA,-9999,1.590886083,0.606545395,2002-02-01
"110",770,0.0729043131039228,0.159520907108021,0.105541887763123,0.232077955393501,1.83777332502387,1.91208121043994,42,2002,0.163814936,1.58629332,NA,-9999,1.467490257,0.58565463,2002-02-08
"111",777,0.158392244970684,0.346767149846019,0.105215252672236,0.232657845835648,1.61774183998326,1.73459017265587,49,2002,0.209872652,1.5436301,NA,-9999,1.498079522,0.638183784,2002-02-15
"112",784,0.118919052497181,0.259868724824824,0.106104947770064,0.235137224305237,1.58202265391245,1.66967452272393,56,2002,0.176760595,1.348482464,NA,-9999,1.000287999,0.58,2002-02-22
"113",791,0.156917943865971,0.343684108846356,0.107005872085769,0.237023937387733,1.6581127291032,1.77032755053403,63,2002,0.200157711,1.664836036,NA,-9999,1.175862022,0.654857244,2002-03-01
"114",798,0.240567381629875,0.52384095391783,0.108991762581795,0.239939524437817,1.68208832599252,1.85598985455322,70,2002,0.249651456,1.575207953,NA,-9999,1.456811958,0.632702108,2002-03-08
"115",805,0.226372028277426,0.482389203499064,0.113441449001631,0.245128399618199,1.68947238231149,1.84325452933814,77,2002,0.34316643,1.402548194,NA,-9999,1.738814783,0.775229166,2002-03-15
"116",812,0.187851707993682,0.383342637236853,0.121960274372256,0.25141254166226,1.64797378118344,1.76712390162527,84,2002,0.351276863,1.602804206,NA,-9999,1.495236936,0.726870408,2002-03-22
"117",819,0.430296060790722,0.788032654659296,0.141266396297865,0.261300078580798,1.54435291415803,1.77108825521521,91,2002,0.911301343,1.593212532,NA,-9999,1.56050423,0.786044333,2002-03-29
"118",826,0.622562120720209,0.954433943490561,0.186691068092077,0.289622453542785,1.3535061143435,1.56165667974148,98,2002,1.181212617,1.65027874,NA,-9999,1.126963663,0.692507961,2002-04-05
"119",833,0.598703671873122,0.746563711983999,0.285771441297385,0.359862883741728,1.3505121040905,1.44837613638477,105,2002,0.925779809,1.427763974,NA,-9999,1.229191218,0.627471602,2002-04-12
"120",840,1.34369794385584,1.44831095562506,0.484687016736638,0.526837110488011,0.907161817374353,0.982728139557493,112,2002,1.798970096,1.530836482,NA,-9999,1.372437601,0.746534945,2002-04-19
"121",847,2.13030865194901,2.17746280392245,0.856985582280369,0.875689396578568,0.349144072906733,0.456667668801799,119,2002,1.889743772,1.62416027,NA,-9999,1.985497855,0.7233107,2002-04-26
