doy,mint_C,maxt_C,airt_C,co2_ppm,swrad_MJm2day,vpd_kPa,precip_kgm2s,wind_spd_ms,SWC_1,SWC_1_unc,SWC_2,SWC_2_unc,SWC_3,SWC_3_unc
280,9.76285714285714,15.0128571428571,12.1935714285714,362.515116071429,8.52275288571428,0.255065773809524,6.11772486772487E-06,2.24197619047619,30.1418511904762,3.01418511904762,15.7529761904762,1.57620312963675,41.3518452380952,4.13518452380952
287,5.72285714285714,10.01,7.81592261904762,360.52518452381,5.75865617142857,0.179178571428571,2.3478835978836E-05,3.08702380952381,35.6749583333333,3.56749583333333,17.7485416666667,1.77565791475543,40.2558035714286,4.02558035714286
294,8.21285714285714,12.5714285714286,10.2162797619048,373.281541666667,5.31128571428571,0.179828571428571,1.19047619047619E-05,2.68719642857143,33.988625,3.3988625,25.345119047619,2.53507481402017,39.6830952380952,3.96830952380952
301,7.21857142857143,12.7085714285714,10.0426488095238,370.841949404762,6.04634194285714,0.254636607142857,1.35582010582011E-05,3.98966964285714,35.1629732142857,3.51629732142857,29.1822321428571,2.91871212107252,39.5629761904762,3.95629761904762
308,5.91714285714286,10.1414285714286,8.15241071428571,364.83325,3.31642594285714,0.216436607142857,3.63756613756614E-05,4.29019345238095,40.9884523809524,4.09884523809524,36.6321726190476,3.6636067508968,39.8414285714286,3.98414285714286
315,3.24714285714286,6.99571428571429,5.05693452380952,366.937705357143,3.82715202857143,0.160218154761905,1.04166666666667E-05,3.49588988095238,41.7686339285714,4.17686339285714,37.0398214285714,3.70436734570212,44.5804464285714,4.45804464285714
322,3.86428571428571,7.32857142857143,5.66366071428571,368.403958333333,3.129732,0.154694345238095,1.66997354497354E-05,3.17439583333333,42.06575,4.206575,37.5456547619048,3.75494548992406,45.5187202380952,4.55187202380952
329,2.90142857142857,6.4,4.56261904761905,369.145482142857,2.81562222857143,0.154636607142857,4.79497354497355E-06,3.32518452380952,42.3059523809524,4.23059523809524,38.2761011904762,3.82798288145798,45.8415476190476,4.58415476190476
336,3.61285714285714,7.72428571428571,5.60372023809524,371.845008928571,2.68623642857143,0.11014880952381,8.43253968253968E-06,3.3203244047619,42.6094285714286,4.26094285714286,38.830505952381,3.88341803601911,46.0143154761905,4.60143154761905
343,4.55714285714286,8.57,6.2321130952381,377.384270833333,2.86464857142857,0.142346726190476,0,3.1555119047619,42.0572916666667,4.20572916666667,38.5247321428571,3.85284357119368,45.925744047619,4.5925744047619
350,5.07,8.46,6.92205357142857,367.059866071429,1.88276374285714,0.182001488095238,1.93452380952381E-05,4.80077678571429,43.1189345238095,4.31189345238095,41.3831547619048,4.13866025396833,46.098125,4.6098125
357,-4.46,-1.72714285714286,-2.92857142857143,375.741163690476,1.7456958,0.0368901785714286,4.46428571428571E-06,3.4408125,43.4262232142857,4.34262232142857,42.5099107142857,4.25132671135318,46.2240178571429,4.62240178571429
366,-3.28111111111111,0.211111111111111,-1.66034722222222,376.630467592593,2.0612248,0.0548375,1.76183127572016E-05,3.57940277777778,42.5031180555556,4.25031180555556,40.9443055555556,4.09477902841735,46.0716435185185,4.60716435185185
