"","day","mod_gpp","mod_gpp_unc95","mod_lai","mod_lai_unc95","mod_reco","mod_reco_unc95","doy","year","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_reco","obs_reco_unc","date"
"89",623,7.75516720202984,7.8529027609673,3.88721491751249,4.03339929939738,4.56605734677771,4.74040527847631,259,2016,5.881665026,1.394358845,4.64,1.04,3.456775191,1.01076979,2016-09-14
"90",630,4.83614738705321,4.92607773144585,3.41065118675951,3.52107175770467,3.44108534657374,3.58004787202088,266,2016,NA,2.116306013,4.68,0.97,NA,1.147121965,2016-09-21
"91",637,5.3503360450308,5.4619417018267,2.93189602019536,3.01856768754815,3.62716980401557,3.77495785665552,273,2016,6.85188878,1.314467516,3.83,1.35,3.109794228,1.019822316,2016-09-28
"92",644,2.95078584634265,3.02020928840974,2.5042730519241,2.5855095878289,2.7903779606914,2.927255127671,280,2016,5.787586221,1.495869337,4.27,0.98,2.531576003,1.046685188,2016-10-05
"93",651,2.10248073074228,2.16324118208011,2.1009998895827,2.18123028967798,2.41696746182324,2.55028688095147,287,2016,1.287442083,1.279525547,NA,-9999,1.902907161,1.010659773,2016-10-12
"94",658,2.08541134684276,2.15999484681458,1.75187264494323,1.83126386796873,2.51759061099841,2.65672415919927,294,2016,3.149635066,1.32670119,NA,-9999,2.638894044,1.000195391,2016-10-19
"95",665,1.17756049602012,1.22909186518408,1.46724385894076,1.54389250092461,2.15731898206278,2.29651468026285,301,2016,1.169812702,1.485535938,1.35,0.28,2.325272494,1.000161902,2016-10-26
"96",672,1.0884621172779,1.14685432003885,1.22849127483181,1.30467498186149,2.16988629607425,2.31147794832586,308,2016,0.821573758,1.286494801,NA,-9999,2.579566902,1.000033938,2016-11-02
"97",679,0.544990799460461,0.576944559284213,1.04166915310248,1.11236794468961,1.85329383392713,1.98235021804203,315,2016,0.392813405,1.529190475,0.7,0.25,2.44168739,1.000022625,2016-11-09
"98",686,0.631614226422846,0.672365526404033,0.890026288822466,0.955446010457012,1.87403729320648,2.00176879659761,322,2016,0.409860221,1.386599158,NA,-9999,2.751984152,1.006007598,2016-11-16
"99",693,0.576779612024081,0.617451372670632,0.774771046647942,0.835049180188424,2.05100312510831,2.19111528797083,329,2016,0.434783386,1.44940274,0.34,0.25,3.113305612,1.006140972,2016-11-23
"100",700,0.483437978170048,0.518709467370619,0.684725025084572,0.740860964112681,1.77336348886546,1.89493751829814,336,2016,0.439376614,1.367555289,NA,-9999,2.302909447,1.010690565,2016-11-30
"101",707,0.484725070018093,0.52200012937515,0.615627360191827,0.667434506489371,1.72789087920095,1.8474304308954,343,2016,NA,2.116306013,NA,-9999,NA,1.147121965,2016-12-07
