"","date","year","day","doy","mod_gpp_sim","mod_gpp_unc95_sim","mod_lai_sim","mod_lai_unc95_sim","mod_nee_sim","obs_gpp","obs_gpp_unc","obs_lai","obs_lai_unc","obs_nee","obs_nee_unc"
"88",2016-09-07,2016,616,252,9.3671554607542,9.55888252563039,4.31266972869826,4.41509238902828,4.29535503803963,6.126653703,1.320092015,4.69,0.96,-2.86667083,0.660891355
"89",2016-09-14,2016,623,259,9.70000307920573,9.75866604848457,3.89139879758159,3.9860721303266,4.2465242220425,5.881665026,1.394358845,4.64,1.04,-1.566655603,0.693576736
"90",2016-09-21,2016,630,266,5.80167684875359,5.86376483487871,3.4276440486453,3.51039142764685,1.80565216743234,NA,2.116306013,4.68,0.97,NA,0.911057024
"91",2016-09-28,2016,637,273,6.63092030615181,6.7051506664469,2.89076374096086,2.9572218117477,2.37296455347087,6.85188878,1.314467516,3.83,1.35,-3.858012644,0.664245999
"92",2016-10-05,2016,644,280,3.34074522583119,3.39293657982095,2.37065591088532,2.42825636245192,0.129265110341609,5.787586221,1.495869337,4.27,0.98,-3.170071068,0.715033242
"93",2016-10-12,2016,651,287,2.23348417361818,2.28090200279314,1.84359818557952,1.89647571936098,-0.489802953342777,1.287442083,1.279525547,NA,-9999,0.605165576,0.645179025
"94",2016-10-19,2016,658,294,2.06299303869563,2.13383092143171,1.3715724210936,1.42552040017887,-0.797980883654225,3.149635066,1.32670119,NA,-9999,-0.566697792,0.670964162
"95",2016-10-26,2016,665,301,0.957006663822607,1.00375240340002,0.98601459191003,1.03821669746194,-1.47302137186515,1.169812702,1.485535938,1.35,0.28,1.390487916,0.656298806
"96",2016-11-02,2016,672,308,0.737305765565833,0.787862547613374,0.677258403830206,0.72572553086826,-1.70211124851211,0.821573758,1.286494801,NA,-9999,1.805956306,0.59680318
"97",2016-11-09,2016,679,315,0.317684130685144,0.347130303984405,0.452841481236036,0.496375690961069,-1.74718842783491,0.392813405,1.529190475,0.7,0.25,2.230708648,0.591255182
"98",2016-11-16,2016,686,322,0.266708145457744,0.298260993888488,0.294709060549857,0.330772477165376,-1.77986520944066,0.409860221,1.386599158,NA,-9999,2.140665262,0.657255135
"99",2016-11-23,2016,693,329,0.169060326186013,0.192962582611608,0.191174250426933,0.218371504463243,-2.17423346754795,0.434783386,1.44940274,0.34,0.25,2.780717682,0.70771096
"100",2016-11-30,2016,700,336,0.114367023613331,0.13423997607207,0.123860523476513,0.144786290588944,-1.79723275136653,0.439376614,1.367555289,NA,-9999,1.953609312,0.659089008
"101",2016-12-07,2016,707,343,0.0900862805390161,0.106956999925472,0.0818996999508496,0.0980913297133234,-1.74768421764137,NA,2.116306013,NA,-9999,NA,0.911057024
"102",2016-12-14,2016,714,350,0.0274042310848495,0.0333605596538806,0.0554075084591647,0.0672699948882118,-2.09361268301575,NA,2.116306013,NA,-9999,NA,0.911057024
"103",2016-12-21,2016,721,357,0.031345228222221,0.0385982798026783,0.0384667363428234,0.047366743611378,-1.83406330711528,0.263751368,1.478868024,NA,-9999,1.407615104,0.69979502
"104",2016-12-28,2016,728,366,0.0187137107150344,0.0234043596170431,0.0277786540209106,0.0346942834219376,-1.99819435531006,NA,-9999,NA,-9999,NA,3.145764419
"105",2017-01-04,2017,735,7,0.0159527793291126,0.020135788204137,0.0195514140532191,0.0246388588634348,-1.63680923640954,0.965231691,1.279152727,NA,-9999,1.271707086,0.689428678
"106",2017-01-11,2017,742,14,0.0110172501351019,0.0140160355911553,0.0153689620721836,0.0195652645808382,-1.80687696004426,0.657047084,1.350702344,NA,-9999,1.150396336,0.58
